iter	Passed	Remaining
419	3375	643
420	3383	634
421	3392	626
422	3399	618
423	3407	610
424	3414	602
425	3422	594
426	3430	586
427	3438	578
428	3446	570
429	3454	562
430	3461	554
431	3469	546
432	3477	538
433	3485	530
434	3493	521
435	3501	513
436	3509	505
437	3518	497
438	3525	489
439	3534	481
440	3541	473
441	3549	465
442	3557	457
443	3566	449
444	3574	441
445	3582	433
446	3590	425
447	3599	417
448	3606	409
449	3615	401
450	3622	393
451	3631	385
452	3639	377
453	3647	369
454	3654	361
455	3662	353
456	3670	345
457	3678	337
458	3686	329
459	3693	321
460	3702	313
461	3709	305
462	3718	297
463	3725	289
464	3734	281
465	3741	273
466	3750	264
467	3757	256
468	3765	248
469	3773	240
470	3782	232
471	3790	224
472	3798	216
473	3806	208
474	3814	200
475	3821	192
476	3829	184
477	3836	176
478	3845	168
479	3852	160
480	3861	152
481	3868	144
482	3876	136
483	3884	128
484	3892	120
485	3899	112
486	3908	104
487	3915	96
488	3924	88
489	3932	80
490	3941	72
491	3950	64
492	3958	56
493	3966	48
494	3974	40
495	3981	32
496	3990	24
497	3997	16
498	4005	8
499	4012	0
