iter	RMSE
0	0.8349720345
1	0.7929347706
2	0.7543952667
3	0.7178278604
4	0.6841359089
5	0.6531435961
6	0.6254627103
7	0.5985305704
8	0.5729045083
9	0.5518185187
10	0.5318075731
11	0.5114654581
12	0.492898912
13	0.4751614502
14	0.4616745793
15	0.4475423651
16	0.4357775386
17	0.4240106228
18	0.4121098066
19	0.4001375679
20	0.390782831
21	0.3809248737
22	0.373507386
23	0.3664751089
24	0.3582100916
25	0.3513607068
26	0.3453533007
27	0.3388769939
28	0.3336314829
29	0.3286533037
30	0.322954491
31	0.3188681915
32	0.3149176475
33	0.3114130568
34	0.3068217692
35	0.3034552009
36	0.2996637627
37	0.2966514336
38	0.2938467754
39	0.2919746671
40	0.2893752577
41	0.2869967086
42	0.2847482261
43	0.2823521614
44	0.280074112
45	0.2782162233
46	0.2762687031
47	0.2752920546
48	0.2737245168
49	0.2715045186
50	0.2689547
51	0.2668663451
52	0.2662914206
53	0.2656500934
54	0.265221589
55	0.2632711612
56	0.2627202374
57	0.2619785582
58	0.2603960455
59	0.2594161153
60	0.2585731099
61	0.2580831014
62	0.2571925692
63	0.2567963277
64	0.2560479415
65	0.2555997639
66	0.2541122554
67	0.253565494
68	0.2527346846
69	0.2517237038
70	0.2511000713
71	0.2507443628
72	0.2495216536
73	0.2487452665
74	0.2484128414
75	0.2478581729
76	0.2474302672
77	0.2469989393
78	0.2463946577
79	0.2457802739
80	0.2451947734
81	0.2446805324
82	0.2442246326
83	0.2431481903
84	0.2422901958
85	0.241797888
86	0.2410481621
87	0.2403547817
88	0.2399999885
89	0.2392542303
90	0.2388416938
91	0.23846155
92	0.237984592
93	0.237591922
94	0.2362980506
95	0.2359194291
96	0.2355148756
97	0.2347793433
98	0.2343014197
99	0.2338337593
100	0.2334231108
101	0.2329833765
102	0.2325711172
103	0.2322015977
104	0.2317252528
105	0.2312982002
106	0.2308556043
107	0.2299161461
108	0.2295602683
109	0.2291562356
110	0.2287553417
111	0.2282607044
112	0.22781687
113	0.2274220049
114	0.2269936725
115	0.2251787343
116	0.2247706961
117	0.2243707745
118	0.2239568746
119	0.2225980978
120	0.2214554145
121	0.2210396612
122	0.2206973518
123	0.2198024336
124	0.2194207362
125	0.2178380277
126	0.2174713572
127	0.2171012556
128	0.2167436173
129	0.2163980017
130	0.216063215
131	0.2147673598
132	0.2144483352
133	0.213851523
134	0.2135387984
135	0.2120585406
136	0.2111577852
137	0.2108554439
138	0.2094303483
139	0.2082997994
140	0.2074689474
141	0.2070095676
142	0.2063384121
143	0.2056342443
144	0.2053716274
145	0.2050933823
146	0.2048253594
147	0.2041736311
148	0.2039179925
149	0.2031293548
150	0.2020676666
151	0.2018112748
152	0.2014987311
153	0.2012756536
154	0.2005286748
155	0.2003105212
156	0.2000760301
157	0.1990435131
158	0.1988394624
159	0.1986347223
160	0.1978740033
161	0.1976733699
162	0.1973952561
163	0.196621509
164	0.196406948
165	0.196022712
166	0.1958091324
167	0.195356252
168	0.1951463874
169	0.1949416552
170	0.1945836844
171	0.1937491902
172	0.1935482857
173	0.1930747313
174	0.1928764845
175	0.1926814408
176	0.1924886488
177	0.1921385451
178	0.1919485543
179	0.1917624986
180	0.1912910962
181	0.1911013873
182	0.1909174945
183	0.190732686
184	0.1897062744
185	0.1892528175
186	0.188859951
187	0.1886786753
188	0.1880343424
189	0.1871797993
190	0.1869992039
191	0.1868409638
192	0.1858265768
193	0.1856503695
194	0.1854777454
195	0.1853078792
196	0.1851393352
197	0.1849729937
198	0.1848052108
199	0.1846419357
200	0.184478012
201	0.1837409629
202	0.183580361
203	0.1833480627
204	0.1831914571
205	0.1830361681
206	0.1822559661
207	0.1821032135
208	0.1817051962
209	0.1814487412
210	0.1807892844
211	0.1801051072
212	0.1799504592
213	0.1797993846
214	0.1796504928
215	0.1795014419
216	0.179353308
217	0.1792065073
218	0.1790613888
219	0.1789171488
220	0.1782185715
221	0.1780724451
222	0.1774795829
223	0.1773370695
224	0.1771955771
225	0.1769916634
226	0.17685272
227	0.1767032656
228	0.1760153527
229	0.1758774526
230	0.1757419184
231	0.175331533
232	0.1751968619
233	0.1750630061
234	0.1743874422
235	0.1742548452
236	0.1739918783
237	0.1732507749
238	0.173119374
239	0.1729074668
240	0.1723184225
241	0.1721877126
242	0.1720589281
243	0.1719312768
244	0.1718044262
245	0.1716781411
246	0.1715530072
247	0.1711642828
248	0.1704690475
249	0.1703439942
250	0.1699916743
251	0.1698670409
252	0.169592352
253	0.1694483296
254	0.1693256533
255	0.1692042355
256	0.1690829218
257	0.1689637169
258	0.1688449281
259	0.1687271929
260	0.1686099529
261	0.1684935663
262	0.1682250117
263	0.1678983801
264	0.1673541946
265	0.1667345362
266	0.1666158117
267	0.1663435182
268	0.166226944
269	0.1656721138
270	0.1655560997
271	0.1654422492
272	0.165315154
273	0.1650365991
274	0.1646352149
275	0.1640756531
276	0.1635332128
277	0.1634206343
278	0.1633089372
279	0.1631596059
280	0.1630494673
281	0.1629401777
282	0.1623968509
283	0.1622882144
284	0.1621604446
285	0.1620521891
286	0.1617860834
287	0.1616790803
288	0.1615728937
289	0.1613550763
290	0.1612494846
291	0.1611445507
292	0.1610406347
293	0.1609369617
294	0.1606031561
295	0.1604988596
296	0.1603964747
297	0.1602949417
298	0.160192866
299	0.160091506
300	0.1599910377
301	0.159891113
302	0.1597918964
303	0.1594681311
304	0.1592124908
305	0.1590950354
306	0.1585128814
307	0.1584125119
308	0.157825606
309	0.1577275513
310	0.1572185529
311	0.1571203287
312	0.1570241855
313	0.1569277914
314	0.1568149873
315	0.1567198917
316	0.1566260506
317	0.1565318898
318	0.15634571
319	0.1562520095
320	0.1561576411
321	0.1560568595
322	0.1555528125
323	0.1554599471
324	0.1553681186
325	0.1552763514
326	0.1549824768
327	0.1548918232
328	0.1548020205
329	0.1547118847
330	0.1546223312
331	0.1541918372
332	0.1541019211
333	0.153998423
334	0.1539097725
335	0.1538214339
336	0.1536642354
337	0.1531503248
