iter	RMSE
338	0.153062126
339	0.1525022632
340	0.1524145364
341	0.1523270104
342	0.1522407182
343	0.1521549904
344	0.1520677638
345	0.1519826426
346	0.1518972574
347	0.151812225
348	0.1513440027
349	0.1512591743
350	0.1511688075
351	0.150699402
352	0.1505558135
353	0.1504714042
354	0.1503876187
355	0.1503046108
356	0.1502217577
357	0.1501398916
358	0.1497389526
359	0.1496573855
360	0.1495754142
361	0.1494937211
362	0.1494122582
363	0.1490893709
364	0.1490076846
365	0.1489271117
366	0.1488416132
367	0.1487609554
368	0.1486810754
369	0.1486003896
370	0.1482831154
371	0.1482034542
372	0.1481229674
373	0.1477062984
374	0.147350078
375	0.1472708146
376	0.1471917577
377	0.1471137107
378	0.1470356259
379	0.1469584856
380	0.1468815393
381	0.1467229069
382	0.1466455048
383	0.1465683662
384	0.146492101
385	0.1464157826
386	0.1463398474
387	0.1462645949
388	0.1461890848
389	0.1461137101
390	0.1460390812
391	0.1459646513
392	0.1458904031
393	0.1458164694
394	0.1457423681
395	0.1456676939
396	0.145321538
397	0.145196489
398	0.145122391
399	0.1450485818
400	0.1449753203
401	0.144646315
402	0.1445732491
403	0.1445004702
404	0.1444278726
405	0.1440853719
406	0.1440127741
407	0.1438959817
408	0.1438232875
409	0.1437514394
410	0.1436793064
411	0.1434188297
412	0.1433470883
413	0.1432751702
414	0.1432041392
415	0.1431325708
416	0.1430617025
417	0.1427213371
418	0.1426480628
419	0.1425767128
420	0.1425052343
421	0.1424350887
422	0.1423652789
423	0.1422958226
424	0.1419012519
425	0.1418042091
426	0.1416918176
427	0.1416219345
428	0.14155268
429	0.141483162
430	0.1410706189
431	0.1410014591
432	0.1409318946
433	0.1408632292
434	0.1407946705
435	0.140726332
436	0.1406584717
437	0.1405909297
438	0.1405234399
439	0.1402508914
440	0.1401837202
441	0.1401165563
442	0.1400498958
443	0.139983131
444	0.1398929838
445	0.13982651
446	0.1397601449
447	0.1396939159
448	0.1394723988
449	0.1394060713
450	0.1393401437
451	0.1392744687
452	0.1389436792
453	0.1388779686
454	0.1388127805
455	0.13827738
456	0.1379922431
457	0.1378721666
458	0.1378064925
459	0.1377410793
460	0.1373647489
461	0.1372994157
462	0.137234617
463	0.1368870533
464	0.136822003
465	0.1367574693
466	0.1366932099
467	0.1366286109
468	0.1365649619
469	0.1365016724
470	0.1364372254
471	0.1363743005
472	0.1363111909
473	0.1362236521
474	0.1359575355
475	0.1358948683
476	0.1358323137
477	0.1357698899
478	0.1357071778
479	0.1356450183
480	0.1355746502
481	0.1355130473
482	0.135154086
483	0.1349514418
484	0.1348892493
485	0.134827688
486	0.134766437
487	0.1347049438
488	0.1346439714
489	0.1345831394
490	0.1345224861
491	0.1344621577
492	0.1344017426
493	0.134341939
494	0.1339992511
495	0.1339000237
496	0.1338400075
497	0.1337801913
498	0.1337205592
499	0.133661926
